7-Eleven stores were temporarily converted into Kwik E-marts to promote the release of what movie?,THE SIMPSONS MOVIE
“Stay Puft” is a brand of marshmallows inspired by what ’80s film?,GHOSTBUSTERS
“Stick-to-itiveness” is a folksy synonym for which of these words?,PERSEVERANCE
“Surfer dude feuds with teacher while teenage girl loses her innocence” summarizes what movie’s plot?,FAST TIMES AT RIDGEMONT HIGH
“Synchronicity” the last studio album by The Police shares its name with a theory put forward by whom?,CARL JUNG
“Systolic” and “diastolic” are medical terms that refer to what human vital sign?,BLOOD PRESSURE
“Take me down to the Paradise Citywhere the grass is green and the girls are pretty” are lyrics in an ’80s hit by whom?,GUNS N’ ROSES
“Team Edward or Team Jacob” is a passionate debate amongst readers of which of these authors?,STEPHENIE MEYER
“The Adventures of Trash Gordon” is a favorite bedtime story of what “Sesame Street’ character?,OSCAR
“The Blind Side” depicts the troubled adolescence of Michael Oher a linebacker drafted by what NFL team in 2009?,BALTIMORE RAVENS
“The Boot” is the name of a popular website featuring inside information for fans of what music genre?,COUNTRY
“The Foie Gras Wars” is a 2009 book that features what type of animal on the cover?,DUCK
“The Lost Symbol” is the latest in a series of Dan Brown novels that center on what protagonist?,ROBERT LANGDON
“The Meltdown” and “Dawn of the Dinosaurs” are both apt subtitles of sequels to what animated film?,ICE AGE
“The Roaring Twenties” is a well-known nickname for a decade that coincided with what historic period?,THE JAZZ AGE
“The Wicker Man the Weather Man and the Family man” are all films starring what lead man?,NICOLAS CAGE
“The Widows Of Eastwick” is the follow-up novel to a 1984 work with which of these words in its title?,WITCHES
“There’s More Than Meets the Arch” is the former motto of what U.S. city?,ST LOUIS
“Thrombocyte” is another name for what common component of blood that aids in clotting?,PLATELET
“Ti amo” means “I love you” in what language?,ITALIAN
“Tip the pan slightly to ignite the rum” is an instruction in the recipe for which of these popular desserts?,BANANAS FOSTER
“Tippling” is an old-fashioned term for what unsavory behavior?,DRINKING ALCHOHOL
“To servenot to be served” is the motto of what organization?,AARP *CORRECT*
“TomKitten” is a tabloid nickname for a celebrity kid with what first name?,SURI
“Top hat” and “junk shot” were two proposedalbeit bizarre-soundingsolutions for what 2010 crisis?,BP OIL SPILL
“Tramp Stamp” is a common slang term for a tattoo found where?,LOWER BACK
“Tramp Stamp” is a common slang term for a tattoo found where?,LOWER BACK
“Traveling” is a common violation in which of these sports?,BASKETBALL
“Two bufoons go to Aspen to return a woman’s purse” is the basic premise of what big-screen comedy?,DUMB AND DUMBER
“Two cowsmake ’em cry” is diner slang for an order of two hamburgers topped with what?,ONIONS
“Two small antelopes can beat a big one” is a traditional proverb in which of these countries?,GHANA
“Uncap what’s inside” is the slogan of what popular office supply brand?,SHARPIE
“Ursus arctos horribilis” is the scientific name for what kind of bear?,GRIZZLY BEAR
“Violet Precipitation” could be an “alternate title” of a 1984 movie starring whom?,PRINCE
“What is…Cliff Clavin?” is the title of a classic “Cheers” episode in which Cliff appears on what TV show?,JEOPARDY!
“When the night has come / And the land is dark” are the first two lines in what classic 1961 song?,STAND BY ME
“Whew!” is an interjection often used to express which of these emotions?,RELIEF
“Who Do You Think You Are” is a question repeatedly posed to the “Mr” in what hit song?,MR. BIG STUFF
“World Without End” is the title of the 2007 follow-up to what author’s best-selling “Pillars of the Earth”?,KEN FOLLETT
“Yappy hours” are social events in which attendees are encouraged to bring their what?,DOGS
“You must have been something before electricity” is a playful jab at a person’s what?,AGE
“You probably think this song is about you” is a famously caustic lyric from what hit song?,YOU’RE SO VAIN
“You take the high road and I’ll take the low road” is a line from a traditional song of what people?,SCOTTISH
“Your mother was a hamster and your father smelt of elderberries” is a bizarre insult from what funny film?,MONTY PYTHON & THE HOLY GRAIL
On an Italian restaurant menuwhich of these dishes would typically be listed under the heading “Zuppa”?,MINESTRONE
Which of these body parts is not normally treated by an otolaryngologist?,EYE
Which of these body parts is not normally treated by an otolaryngologist?,EYE
Which of these bottled water brands is produced by the makers of Coca-Cola?,DASANI
Which of these Brady Bunch episode titles is also the title of a 1974 Martin Scorsese film?,ALICE DOESN’T LIVE HERE ANYMORE
Which of these branches of mathematics would a student most likely learn first?,ARITHMETIC
Which of these branches of the Armed Forces operates F-16s?,AIR FORCE
Which of these brand names features two misspelled words?,REDDI-WIP
Which of these brave actresses appeared in a 2006 movie in which her head was shaved on screen?,NATALIE PORTMAN
Which of these breeds of dogs takes it name from the region in Germany where it was originally bred?,WEIMARANER
Which of these Broadway musicals was inspired by a famous painting?,SUNDAY IN THE PARK WITH GEORGE
Which of these cable networks focuses on musicnot movies?,CMT
Which of these cable pundits is known for using an old-fashioned chalkboard as a visual aid?,GLEN BECK
Which of these cable reality series is usually set nearest to the Arctic Circle?,ICE ROAD TRUCKERS
Which of these cable TV news hosts once served in Congress as a Florida Republican?,JOE SCARBOROUGH
Which of these California cities lays claim to the title “Capital of Silicon Valley”?,SAN JOSE
Which of these camera parts controls how much light passes through the lens?,APERTURE
Which of these candies typically comes in only two colorspink and white?,GOOD & PLENTY
Which of these candy bars was once marked with the slogan “Two for menone for you”?,TWIX
Which of these capital cities is not located in mainland Asia?,TOKYO
Which of these card games is also called “Memory”?,CONCENTRATION
Which of these cartoon characters is usually squinting?,MR.MAGOO
Which of these cartoon characters likely suffers from rhotacisma speech disorder where R’s are pronounced like W’s?,ELMER FUDD
Which of these cartoon characters would best be described as a lothario?,PEPE LE PEW
Which of these celebrities is not mentioned in the lyrics of the 1998 Barenaked Ladies hit “One Week?”,MEG RYAN
Which of these celebrities was born in Cuba and not Puerto Rico?,GLORIA ESTEFAN
Which of these celebrity kids is the child of an Oscar-winning mother and a Grammy-winning father?,APPLE MARTIN
Which of these characteristics must be true about an Olympic-size pool?,50 METERS LONG
Which of these characters appeared in the short-lived Broadway musical “Seussical”?,THE CAT IN THE HAT
Which of these characters from AFI’s list of the fifty greatest movie villains was an actual movie star?,JOAN CRAWFORD
Which of these characters from the original “Star Trek” TV series speaks with a Russian accent?,MR.CHEKOV
Which of these characters is from the 1978 movie “Grease” and not the 1988 movie “Hairspray?”,MARTY MARASCHINO
Which of these Charlie Chaplin movies was intended to make fun of Adolf Hitler?,THE GREAT DICTATOR
Which of these Charlie Chaplin movies was intended to make fun of Adolph Hitler?,THE GREAT DICTATOR
Which of these chart-topping albums was recorded by an “American Idol” champion?,SOME HEARTS
Which of these chart-topping albums was recorded by an “American Idol” champion?,SOME HEARTS
Which of these cheeses is commonly known in the United States as “Swiss Cheese”?,EMMENTALER
Which of these children’s games traditionally ends when someone reaches “tensies”?,JACKS
Which of these children’s games uses a spinner to determine a player’s move?,CHUTES AND LADDERS
Which of these children’s movies was not based on a book by Roald Dahl?,THE JUNGLE BOOK
Which of these cities has roughly the same latitude as New York City?,TOKYO
Which of these cities in Michigan shares its name with a cryptocrystalline variety of the mineral quartz?,FLINT
Which of these cities is also the name of a famous cocktail made with vermouth whiskey and a dash of bitters?,MANHATTAN
Which of these city-themed songs mentions Graceland and the ghost of Elvis in its lyrics?,WALKING IN MEMPHIS
Which of these classic animated Disney characters never communicates using words?,TINKER BELL
Which of these classic board games is designed for the youngest age group?,CHUTES AND LADDERS
Which of these classic fairy tales does not feature a wicked stepmother?,LITTLE RED RIDING HOOD
Which of these classic fictional characters performs his on-the-job duties in a belfry?,QUASIMODO
Which of these classic films was directed by Diane Sawyer’s husband?,THE GRADUATE
Which of these classic movies is set during the Korean War?,M.A.S.H.
Which of these classic novels features the wise advice “Never laugh at live dragons”?,THE HOBBIT
Which of these classic novels was written by a man named after Ralph Waldo Emerson?,INVISIBLE MAN
Which of these classic sitcom characters was not played by an actor with the same first name?,ELAINE BENES
Which of these classic TV characters often tells others to “sit on it!”?,THE FONZ
Which of these classic TV series featured a regular character who was a cross-dresser?,MASH
Which of these classic TV shows has a title character whose name means “large” in Latin?,MAGNUM P.I.
Which of these classic works of literature is a sequel?,HUCKLEBERRY FINN
Which of these classic works of literature is typically categorized as a short story and not a novel?,THE PIT AND THE PENDULUM
Which of these classroom supplies is traditionally made of calcium carbonate?,CHALK
Which of these cocktails typically requires the use of a bartending tool called a muddler?,MOJITO
Which of these coffee shop orders requires the least preparationsimply adding water to espresso?,AMERICANO
Which of these coins depicts the U.S. president who served in office the earliest?,QUARTER
Which of these colors does not take its name from a gemstone?,PERIWINKLE
Which of these colors isby defintion a shade of purplish-red?,MAGENTA
Which of these combinations of road races would require a participant to run the farthest?,TEN HALF-MARATHONS
Which of these combinations of standard coin rolls is worth the most money?,FIVE ROLLS OF DIMES
Which of these comedies features both Luke and Owen Wilson?,THE ROYAL TENEBAUMS
Which of these comedies prominently features a fortune-telling carnival game called “Zoltar Speaks”?,BIG
Which of these common house plants does not actually produce flowers?,FERN
Which of these common household objects is a simple incendiary device?,MATCH
Which of these common ingredients in Japanese cuisine is a vegetable and not a type of edible seaweed?,DAIKON
Which of these common kitchen ingredients is often “clarified” by heating it on the stove?,BUTTER
Which of these common Latin phrases means “to a sickening degree”?,AD NAUSEAM
Which of these common tongue-twisting phrases features numerous examples of sibilance?,SHE SELLS SEASHELLS
Which of these common yoga positions involves standing on one leg?,TREE POSE
Which of these commonly used abbreviations is short for a French phrase?,RSVP
Which of these companies was founded in the early 1980s in MelbourneAustralia by a woman and her husband?,JENNY CRAIG
Which of these company’s stocks more than doubled in the early ’20slargely as a result of Prohibition?,COCA-COLA
Which of these computer keyboard symbols is also featured on a standard telephone keypad?,ASTERISK
Which of these computer keyboard symbols is also featured on a standard telephone keypad?,Asterick
Which of these condiments is sold under the brand name “Best Foods” west of the Rockies?,HELLMAN’S MAYONNAISE
Which of these confections is often made in a machine that uses centrifugal force?,COTTON CANDY
Which of these consumer product titans is known as the “father of frozen food”?,CLARENCE BIRDSEYE
Which of these continents lies in the NorthernSouthernEastern and Western Hemispheres?,AFRICA
Which of these cooking terms is believed to come from a Norweigan word meaning “lump”?,DOLLOP
Which of these cooking-related words is also a verb meaning “to hunt illegally”?,POACH
Which of these cosmetics can be used in an emergency to stop pantyhose from running?,NAIL POLISH
Which of these could be an alternative title for TV Land’s celeb reality show “Harry Loves Lisa?”,HAMLIN LOVES RINNA
Which of these countries generally gets colder in temperature the farther south you travel?,AUSTRALIA
Which of these countries is an island nation in the Pacific and not a country in Africa?,PAPUA NEW GUINEA
Which of these countries is home to the world’s largest Kurdish population?,TURKEY
Which of these countries is situated partly on what continent and partly on the other?,TURKEY
Which of these countries lies in the coffee-producing region of the world known as the “bean belt”?,COLUMBIA
Which of these countries’ people usually eat with fork and spoon using only chopsticks for noodles?,THAILAND
Which of these country names can be spelled by placing three U.S. state postal abbreviations in a row?,MALAWI
Which of these Crayola Crayon colors takes its name from a lyric in the song “America the Beautiful”?,Purple Mountain’s Majesty
Which of these creatures are on display in the Nocturnal House at the Cincinnati Zoo?,BATS
Which of these deserts is by far the coldestwith temperatures known to fall as low as minus 40 degrees?,GOBI
Which of these designer labels is best known for its trendy line of eyewear?,OLIVER PEOPLES
Which of these devices indicates the time of day with a shadow?,SUNDIAL
Which of these dishes is traditionally prepared in a molcajetea heavy bowl made of volcanic rock?,GUACAMOLE
Which of these Disney characters is typically drawn wearing only a collar?,PLUTO
Which of these Disney Princesses was not born withbut rather married into her royal title?,CINDERELLA
Which of these dog breeds is also slang for an overly aggressive person?,PIT BULL
Which of these drinks is sometimes ceremoniously opened by cutting the top off the bottle with a specialized sword?,CHAMPAGNE
Which of these drugstore brands operates the website RespectTheRoll.com?,COTTONELLE
Which of these drugstore brands shares its logo design with the Socialist Labor Party of America?,ARM AND HAMMER
Which of these elements derives its chemical symbol “Hg” from the Latin word for “liquid silver”?,MERCURY
Which of these elements is an active ingredient in calamine lotion?,ZINC
Which of these English towns is famous for the bath salts that come from its local springs?,EPSOM
Which of these entries from the Cassell Dictionary of Slang means “to follow closely?”,LIKE WHITE ON RICE
Which of these entries from the Cassell Dictionary of Slang means “very closely”?,LIKE WHITE ON RICE
Which of these esteemed actors had a brief if memorable nude scene in the comedy classic “Animal House”?,DONALD SUTHERLAND
Which of these European capitals is not located along the Danube river?,BERN
Which of these European cities was built thousands of years ago atop seven hills?,ROME
Which of these European countries isin large parta peninsula?,ITALY
Which of these European “lands” is an island?,IRELAND
Which of these events derives its name from a Greek word meaning “to dip”?,BAPTISM
Which of these events occurs quadrennially?,SUMMER OLYMPICS
Which of these fabrics is named for a variety of goat found in a hilly region between India and Pakistan?,CASHMERE
Which of these family movies about animals centers on a creature that weighs the most?,FREE WILLY
Which of these family movies about animals centers on a creature that weights the most?,FREE WILLY
Which of these famous actors overcame childhood stuttering to become the voice of Darth Vader and CNN?,JAMES EARL JONES
Which of these famous American poems mentions the Massachusetts towns of Lexington and Concord?,PAUL REVERE’S RIDE
Which of these famous authors was not born in Ireland?,EUGENE O’NEILL
Which of these famous lines is associated with a president who was a Democrat?,THE BUCK STOPS HERE
Which of these famous melodies is traditionally played on a bugle?,TAPS
Which of these famous names features a Spanish phrase meaning “of the bull”?,BENICIO DEL TORO
Which of these famous people never appeared as a guest star on the HBO series “Sex and The City”?,ROBERT DOWNEY JR
Which of these famous phrases was chanted throughout the New Orleans Saints’ Super Bowl victory in 2010?,WHO DAT
Which of these famous poem titles features the first words of the poem itself?,O CAPTAIN! MY CAPTAIN!
Which of these famous poems recounts an event immediately preceding the American Revolution?,PAUL REVERE’S RIDE
Which of these famous scientists was an Augustinian monk?,GREGOR MENDEL
Which of these famous statues depicts a young man who is about to do battle with a giant?,DAVID
Which of these famous structures was built as a tomb?,GREAT PYRAMID OF GIZA
Which of these famous teenagers is a black belt in karate?,TAYLOR LAUTNER
Which of these famous women was beheaded?,MARIE ANTOINETTE
Which of these famous WWII battles took place on a Pacific island?,IWO JIMA
Which of these fancy deserts is not typically lit on fire as part of its preparation?,BAKED ALASKA
Which of these fashion accessory names is sometimes used as a verb to mean eating very quickly?,SCARF
Which of these fashion houses is named after its founder’s first name and not his last name?,VALENTINO
Which of these fast food chains specializes in burgers known as “sliders”?,MCDONALD’S
Which of these fast food chains specializes in miniature hamburgers known as “sliders”?,WHITE CASTLE
Which of these features of planet Earth is considered part of its hydrosphere?,ATLANTIC OCEAN
Which of these felines lends its name to Apple’s 2011 version of their operating system OS X?,LION
Which of these female names has not appeared in a Rolling Stones hit song title?,DAISY
Which of these fictional characters are described as being “three apples tall”?,SMURFS
Which of these fictional characters gives a famous speech popularly known as the “Nose Tirade”?,CYRANO DE BERGERAC
Which of these films depicts a real-live court case and not an epic battle between two fictional creatures?,Dracula v. Frankenstein
Which of these films features an ordinal number in its title?,THE THIRD MAN
Which of these films is a “real” Hollywood movieand not a “mockbuster”– a low-budget ripoff of a hit film?,LAND OF THE LOST
Which of these films was loosely based on a 1927 Upton Sinclair novel?,THERE WILL BE BLOOD
Which of these firearms also serves as shorthand for punching a hole in a beer can and drinking it quickly?,SHOTGUN
Which of these fish names is thought to derive from the Latin word for “leaper”?,SALMON
Which of these flowers has a common yoga pose named after it?,LOTUS
Which of these fonts consists of symbols instead of letters?,WINGDINGS
Which of these food brand names would also serve as a proper response to the Italian expression “grazie”?,PREGO
Which of these food items is predominantly produced in the Italian town of Modena,BALSAMIC VINEGAR
Which of these food pairs is commonly used to refer to one’s job or livelihood?,BREAD AND BUTTER
In Disney’s “Operation Dumbo Drop” U.S. soldiers attempt to bring what animal to a Vietnamese village?,ELEPHANT
In E.B. White’s classic children’s novel “Charlotte’s Web” what is the name of the gluttonous rat?,TEMPLETON
In educationthe Flesch-Kincaid readability test assigns a level of difficulty that corresponds to what statistic?,GRADE LEVEL
In England the term “Oxbridge” is used to refer collectively to the country’s two best-known what?,UNIVERSITIES
In England the word “lorry” refers to what type of vehicle?,TRUCK
In England what professionals are classified either as barristers or solicitors?,LAWYERS
In Englanda “hackney carriage” is another name for a what?,TAXI CAB
In Englandwhich of these common police detective duties is known as an “identity parade”?,POLICE LINEUP
In Englishthe letter “B” is often silent when it is directly followed by what other letter?,T
In farm lingothe eggs laid by one hen during a single nesting period are known as what?,CLUTCH
In February 2011what cell phone provider began selling the iPhoneending AT&T’s run as its exclusive carrier?,VERIZON WIRELESS
In figure skatingwhich of these crowd-pleasing maneuvers requires two skaters?,DEATH SPIRAL
In film creditswhich of these actors is typically listed with his full middle nameand not just a middle initial?,PHILLIP HOFFMAN
In finance what adjective is used to describe a person’s income after taxes have been taken out?,DISPOSABLE
In France”haricot vert” is the term used for which of these vegetables?,GREEN BEAN
In Frank Sinatra’s ode to “New YorkNew York” what completes the famous line”Start spreading the news”?,I’M LEAVING TODAY
In French cuisinea remoulade is a type of what?,SAUCE
In genealogical terms your grandfather’s great-great granddaughter is best described as your what?,FIRST COUSIN TWICE REMOVED
In geometry which of these measurements applies only to circles and not triangles?,CIRCUMFERENCE
In Germanywhich of these common household items is known as a “fingerhut”?,THIMBLE
In golfif you “bogey” a holewhat score did you get?,ONE STROKE OVER PAR
In Gray’s Anatomy what bone in the human wrist is described as having a “crescentic outline”?,SEMILUNAR
In Greek mythwhat form did Zeus assume when he seduced Leda?,SWAN
In Greek mythology who succeeded in killing Achilles?,PARIS
In Greek mythologywho is the goddess of the rainbow?,IRIS
In health insurance parlance the abbreviation “PPO” usually denotes what type of organization?,PREFERRED PROVIDER
In her 1985 number one single. Whitney Houston asks “How will I know if” what?,HE REALLY LOVES ME
In her memoir”Then Again” what actress explains the origins of her love of men’s hats?,DIANE KEATON
In hiking the marks on trees that indicate the trail are called what?,BLAZES
In hip-hop lingothe word “shorty” commonly refers to a what?,YOUNG WOMAN
In his 1989 book “From Beirut to Jerusalem” Thomas Friedman recounts a journey he once took from Lebanon to where?,ISRAEL
In his 1999 film “The Sixth Sense” director M. Night Shyamalan makes a cameo appearance playing a what?,DOCTOR
In his hit 1983 songElton John ponders “I guess that’s why they call it” what?,THE BLUES
In his memoir George W. Bush reveals his “all-time low” in office was hearing what rapper’s harsh post-Katrina comments?,KANYE WEST
In his memoircelebrity chef Anthony Bourdain warns against ordering which of these foods on a Monday?,FISH
In his Oscar acceptance speech what actor asked for a moment of silence for the victims of the Titanic?,JAMES CAMERON
In his satirical essay “A Modest Proposal” Jonathan Swift proposed that Ireland’s poor do what with their children?,SELL THEM TO BE EATEN
In honor of the famous race held in its capitalwhat state’s commemorative quarter features a racecar?,INDIANA
In humans what joint causes the “click” or “pop” that’s heard when mouths open and close?,TEMPORAMANDIBULAR JOINT
In humansthe trachea is a tube that runs in front of what other body part?,ESOPHAGUS
In Internet chat and text lingo”ITA” is typically short for what phrase?,I TOTALLY AGREE
In its final episode what TV show revealed that the hospital was actually inside a snowglobe?,ST ELSEWHERE
In its logothe fast food chain Wendy’s described its hamburgers as what?,OLD FASHIONED
In its third seasonwhat TV drama featured an actor playing real-life hotel tycoon Conrad “Connie” Hilton?,MAD MEN
In its title a fitness article posted online asks the age-old question “Can You Get Six Pack Abs Without” what?,CRUNCHES
In its TV adswhich brand of cat food is known for featuring a fluffy white cat eating from a crystal goblet?,FANCY FEAST
In its written formwhich of these languages has over 50000 characters but no alphabet?,CHINESE
In January 2012many websitesincluding Googleloudly protested a proposed law known as SOPAthe “Stop Online” what?,PIRACY ACT
In keeping with its maritime imagewhat fashion label’s logo features a J-class sailboat?,NAUTICA
In keeping with its namewhat Web Site once billed itself as “The World’s Greatest Recipe Collection”?,EPICURIOUS.COM
In law what is the term for a document that revises a person’s will?,CODICIL
In lawthe time period during which a person may be sued is called the “statute of” what?,LIMITATIONS
In lawwhat is the term for a child who has been officially released from the control of his parents?,EMANCIPATED
In lawwhat is the term for a document that revises a person’s will?,CODICIL
In Los Angeles in 1927 Sid Grauman opened a now-famous what?,MOVIE THEATER
In lunch counter lingowhat kind of bread does a customer get if his sandwich is “on whiskey?”,RYE
In Mafia lingothe phrase “sleeping with the fishes” refers to person who is what?,DECEASED
In math a ratio is commonly written as two numbers separated by which of these punctuation marks?,COLON
In math which of these numbers is a common denominator of the fractions 1/3 and 2/5?,15
In mathwhat two letters are used to identify the horizontal and vertical axes on a graph?,X AND Y
In mathematicswhat punctuation mark is commonly used between numbers to indicate a ratio?,COLON
In Mexico a tortilla is a thin corn or flour flatbread but in Spain a tortilla is a what?,POTATO OMELET
In Michael Jackson’s “You Rock My World” videowhat actor makes a fitting cameo as the boss of “The Waterfront Hotel”?,MARLON BRANDO
In military time what number denotes one minute past midnight?,0001 ..
In movies what actor has twice portrayed Dr. Alex Cross the hero of several James Patterson movies?,MORGAN FREEMAN
In moviesEric Bana and Edward Norton have both played a comic book character that was played on TV by whom?,BILL BIXBY
In music industry lingo an artist’s record “drops” when it what?,GETS RELEASED
In music industry lingoan artist’s record “drops” when it does what?,GETS RELEASED
In musical notationa flat is denoted by a symbol resembling what lowercase letter?,B
In musical notationa set of five horizontal lines and four spaces on which music is written is known as a what?,STAFF
In musical theaterwhen a dancer shakes his open palms to the audience with fingers splayedit is known as what?,JAZZ HANDS
In NASCAR racing how many cars traditionally start in each race?,43
In New Orleans the “po boy” is a signature style of what?,SANDWICH
In office for 22 yearsRichard M. Daley was the longest serving mayor of what U.S. city?,CHICAGO
In one of 2010’s biggest viral videosa hiker laughs and cries for three minutes at the sight of a what?,DOUBLE RAINBOW
In one of his fireside chatswhat U.S. president described America as a great “Arsenal of Democracy”?,FRANKLIN ROOSEVELT
In order to perform the Heimlech maneuver on a choking personyou usually put your arms where?,AROUND HIS WAIST
In order to play the banjo more effectively what comedian maintains acrylic nails nails on two of his picking fingers?,STEVE MARTIN
In order to “ford” a stream how does a person cross it?,BY WADING
In orthodonticsdental braces that are fitted behind the teethso as not to be visibleare called what?,LINGUAL
In Pamplona’s Running of the Bulls brave tourists run through the streets wearing what distinctive piece of clothing?,RED SCARVES
In Paris the Moulin Rouge nightclub is located in what historic neighborhood?,MONTMARTE
In performing Darth Vader’s stuntsBob Anderson called on his skills as an Olympic what?,FENCER
In physics equations what letter is typically used to represent the speed of light?,c
In physicsthe point at which an object can be balanced is called its “center of” what?,GRAVITY
In poolif you accidentally shoot the cue ball into a pocketwhat have you done?,SCRATCHED
In popular money slangif you have five “Lincolns” and five “Hamiltons” how much cash do you have?,$75 
In pregnant womenwhat is the name of the thinfluid-filled membrane that surrounds the fetus?,AMNION
In preparation for hosting the 2008 Olympics what country launched a campaign to stop public spitting?,CHINA
In publishingwhat nickname is commonly used for novels that are geared toward a female readership?,CHICK LIT
In real estate lingo buying a house with the intention of quickly reselling it for a profit is called what?,FLIPPING
In real estate listings the common acronym “FSBO” means “for sale” what?,BY OWNER
In real estate listings”a/g pl” stands for a swimming pool that is what?,ABOVEGROUND
In recent yearsseveral U.S. cities and towns have passed ordinances banning what contentious fashion trend?,SAGGY PANTS
In response to a new immigration law what city’s NBA team donned “Los Suns” jerseys in May 2010?,PHOENIX
In restaurant lingoa server who is falling behind is said to be where?,IN THE WEEDS
In Robert Louis Stevenson’s novel “Treasure Island” Long John Silver has a pet parrot named what?,CAPTAIN FLINT
In Rodin’s statue “The Thinker” which of these correctly describes the pose of the man’s arm touching his head?,RIGHT ELBOW ON LEFT KNEE
In Roman mythology Vulcan was the god of what?,FIRE
In roman numerals how is the year 2011 written?,MMXI
In scientific classificationwhich of the taxonomic ranks are ranked in the right orderfrom highest to lowest?,FAMILYGENUSSPECIES
In Shakespearean English the word “ere” was commonly used to mean what?,BEFORE
In Shakespeare’s “Richard III” the main character famously shouts “My kingdom for a” what?,HORSE
In some cases “hands-only” CPR can be as effective as the original method which also involves doing what to the patient?,BREATHING INTO HIS MOUTH
In Spain which of these popular reality TV shows goes by the name “No te lo pongas!”,WHAT NOT TO WEAR
In Spainwhich of these meals is typically taken at 9:00 p.m.?,LA CENA
In Spanish cuisinethe dish “gambas al ajillo” is literally what main ingredient in garlic sauce?,SHRIMP
In Spanish which of these wines is not considered a “vino tinto”?,RIESLING
In Spanish”de nada” is a standard response to which of these niceties?,MUCHAS GRACIAS
In street lingo “Scratch” is slang for what?,MONEY
In surfing and skateboardinga person who rides with their right foot forward is known as a what?,GOOFY FOOT
In tabloid gossipthe term “new ink” refers to a star’s newly acquired what?,TATTOO
In taste tests60% of consumers indicate preferring the “creamy” over the “crunchy” version of what food?,PEANUT BUTTER
In teen girl slang if someone is your “BFF” she is your what “Forever”?,BEST FRIEND
In tennisa player who has lost a set 6-0 is said to have been what?,BAGELED
In terms of square mileagewhich of these Middle Eastern countries is the largest?,SAUDI ARABIA
In the 1800sOhio native Annie Oakley gained national fame for her remarkable skills as a what?,SHARPSHOOTER
In the 1870sthe standard QWERTY keyboard was developed to prevent which of these common typewriter problems?,JAMMED TYPEWRITERS
In the 1880sAustralians built an enormously long fence to keep what animals from attacking their sheep?,DINGOES
In the 1895 novel “Red Badge of Courage” Henry Fleming the main character is a what?,UNION SOLDIER
In the 1895 novel “The Red Badge Of Courage” Henry Flemingthe main characteris a young what?,UNION SOLDIER
In the 1945 novel “Animal Farm” what animals control the “government” of the farm?,PIGS
In the 1958 film “Vertigo” Jimmy Stewart’s character has an irrational fear of what?,HEIGHTS
In the 1960sthe CIA reportedly tried to manufacture exploding cigars in order to assassinate what world leader?,FIDEL CASTRO
In the 1960sthe FBI conducted an investigation into the unintelligible lyrics of what popular song?,LOUIE LOUIE
In the 1962 movie “The Manchurian Candidate” what playing card triggers Raymond’s trances?,QUEEN OF DIAMONDS
In the 1967 film “Bonnie and Clyde” Clyde famously offers what terse description of the duo’s occupation?,WE ROB BANKS
In the 1968 movie “Funny Girl” Barbara Streisand’s character looks into the mirror and says “Hello” what?,GORGEOUS
In the 1972 film “The Godfather” Vito Corleone dies while playing with his grandson where?,IN A TOMATO GARDEN
In the 1979 hit song “Escape” what does the singer claim to like in addition to pina coladas?,GETTING CAUGHT IN THE RAIN
In the 1980s the Members Only brand became famous for its wildly popular version of what?,MEN’S JACKET
In the 1987 movie “The Princess Bride” what actress plays the Princess Bride?,ROBIN WRIGHT PENN
In the 1988 movie “Rain Man” Raymond Babbitt is obsessed with watching what TV personality?,JUDGE WAPNER
In the 1989 movie “Field Of Dreams”a mysterious voice inspires a farmer to build what in his cornfield?,BASEBALL DIAMOND
In the 1989 movie “When Harry met Sally…” Harry and Sally first meet at what university?,UNIVERSITY OF CHICAGO
In the 1990 movie “Ghost” what classic song is featured during the famous “pottery-making” love scene?,UNCHAINED MELODY
In the 1992 film “My Cousin Vinny” Joe Pesci and Marisa Tomei memorably sample what Southern dish?,GRITS
In the 1993 drama “Indecent Proposal” Demi Moore agrees to sleep with Robert Redford for what tidy sum?,ONE MILLION DOLLARS 1000000
In the 1994 film “The Shawshank Redemption” a newly freed Red reunites with Andy in what Mexican town?,ZIHUATANEJO
In the 1994 movie “Speed” a bomb is set to go off as soon as a bus’s speed falls below what?,50 MPH
In the 1995 comedy “Tommy Boy” Chris Farley ruins David Spade’s clothes as he sings “Fat guy in” what?,A LITTLE COAT
In the 1997 film “Donnie Brasco” Johnnie Depp memorably explains the varied nuances of what mob phrase?,“FORGET ABOUT IT!”
In the 1997 movie “Boogie Nights” Heather Graham plays a young starlet known by what nickname?,ROLLERGIRL
In the 1997 movie “My Best Friend’s Wedding” who plays the titular “best friend”?,DERMOT MULRONEY
In the 1998 film “The Big Lebowski” what actress plays Bunnya trophy wife who wears green nail polish?,TARA REID
In the 1999 film “Muppets from Space” what muppet is revealed to actually be an alien?,GONZO
In the 1999 movie “American Pie” Alyson Hannigan’s character discusses playing what instrument at band?,FLUTE
In the 2003 animated movie “Finding Nemo” the good-natured Dory suffers from what problem?,MEMORY LOSS
In the 2003 film “The Last Samurai” Tom Cruise plays a soldier who goes to what country to train its warriors?,JAPAN
In the 2003 hit song “Hey ya!” the band OutKast urges listeners to “shake it like a” what?,POLAROID PICTURE
In the 2004 movie “Sideways” wine lover Miles adamantly states that he will not drink what varietal?,MERLOT
In the 2009 film “Watchmen” which character fittingly wears a mask decorated with inkblots?,RORSCHACH
